,Symbol,DTE,Strike,Price,Bid,Breakeven,Contracts,MaxProfit,MaxLoss,PctToStrike,PctToBE,Delta,TVol,ProfitDTE,RR1.0,Description,ProbOTM,ProbBE,ExpProfit,RR2.0
291,BBBY,10,10.0,13.285,1.46,8.54,2,292.0,1708.0,-24.73,-35.72,-0.303,56.524,29.2,1043.02,BBBY Aug 19 2022 10 Put,67.05,73.97,198.66,297.249
288,BBBY,3,12.0,13.285,2.1,9.9,1,210.0,990.0,-9.67,-25.48,-0.461,41.076,70.0,1783.6,BBBY Aug 12 2022 12 Put,59.25,73.29,135.99,290.921
286,BBBY,3,10.0,13.285,0.83,9.17,2,166.0,1834.0,-24.73,-30.97,-0.29,33.653,55.33,1713.57,BBBY Aug 12 2022 10 Put,76.8,82.11,123.87,289.163
1029,LMND,3,25.0,28.67,1.8,23.2,1,180.0,2320.0,-12.8,-19.08,-0.457,17.781,60.0,1144.8,LMND Aug 12 2022 25 Put,76.25,85.63,141.81,262.353
290,BBBY,10,9.5,13.285,1.13,8.37,2,226.0,1674.0,-28.49,-37.0,-0.268,54.711,22.6,836.2,BBBY Aug 19 2022 9.5 Put,69.61,74.49,155.22,237.716
287,BBBY,3,11.0,13.285,1.48,9.52,1,148.0,952.0,-17.2,-28.34,-0.386,37.229,49.33,1398.01,BBBY Aug 12 2022 11 Put,67.85,77.4,103.78,233.055
126,AMC,3,26.0,24.875,3.55,22.45,1,355.0,2245.0,4.52,-9.75,-0.586,23.688,118.33,1153.72,AMC Aug 12 2022 26 Put,42.9,66.2,190.85,224.946
293,BBBY,10,12.0,13.285,2.74,9.26,1,274.0,926.0,-9.67,-30.3,-0.424,62.251,27.4,830.22,BBBY Aug 19 2022 12 Put,56.55,68.93,168.78,224.765
285,BBBY,3,9.5,13.285,0.6,8.9,2,120.0,1780.0,-28.49,-33.01,-0.237,32.319,40.0,1320.4,BBBY Aug 12 2022 9.5 Put,80.73,84.37,90.63,217.349
125,AMC,3,25.0,24.875,2.85,22.15,1,285.0,2215.0,0.5,-10.95,-0.529,22.747,95.0,1040.25,AMC Aug 12 2022 25 Put,48.53,68.37,163.44,211.61
289,BBBY,10,9.0,13.285,0.9,8.1,2,180.0,1620.0,-32.25,-39.03,-0.231,53.396,18.0,702.54,BBBY Aug 19 2022 9 Put,72.69,76.66,126.84,201.027
1028,LMND,3,24.0,28.67,1.25,22.75,1,125.0,2275.0,-16.29,-20.65,-0.371,17.712,41.67,860.49,LMND Aug 12 2022 24 Put,82.03,88.04,102.19,197.135
124,AMC,3,24.0,24.875,2.18,21.82,1,218.0,2182.0,-3.52,-12.28,-0.462,21.887,72.67,892.39,AMC Aug 12 2022 24 Put,56.28,71.42,135.79,191.377
292,BBBY,10,11.0,13.285,2.09,8.91,1,209.0,891.0,-17.2,-32.93,-0.369,58.714,20.9,688.24,BBBY Aug 19 2022 11 Put,61.08,71.07,134.62,190.48
1027,LMND,3,23.5,28.67,1.05,22.45,1,105.0,2245.0,-18.03,-21.7,-0.33,18.029,35.0,759.5,LMND Aug 12 2022 23.5 Put,84.17,88.67,86.41,170.979
123,AMC,3,23.0,24.875,1.6,21.4,1,160.0,2140.0,-7.54,-13.97,-0.388,20.961,53.33,745.02,AMC Aug 12 2022 23 Put,63.53,74.43,106.85,164.367
183,APPS,3,23.0,23.72,1.95,21.05,1,195.0,2105.0,-3.04,-11.26,-0.406,23.76,65.0,731.9,APPS Aug 12 2022 23 Put,54.9,67.9,116.53,154.128
1026,LMND,3,23.0,28.67,0.9,22.1,1,90.0,2210.0,-19.78,-22.92,-0.291,18.134,30.0,687.6,LMND Aug 12 2022 23 Put,86.27,89.77,74.79,152.078
284,BBBY,3,9.0,13.285,0.4,8.6,2,80.0,1720.0,-32.25,-35.27,-0.179,30.126,26.67,940.65,BBBY Aug 12 2022 9 Put,85.97,88.07,60.8,149.837
181,APPS,3,22.0,23.72,1.52,20.48,1,152.0,2048.0,-7.25,-13.66,-0.339,24.21,50.67,692.15,APPS Aug 12 2022 22 Put,61.94,71.47,98.03,148.6
184,APPS,3,24.0,23.72,2.42,21.58,1,242.0,2158.0,1.18,-9.02,-0.476,22.983,80.67,727.64,APPS Aug 12 2022 24 Put,48.08,65.56,134.54,148.106
182,APPS,3,22.5,23.72,1.66,20.84,1,166.0,2084.0,-5.14,-12.14,-0.372,24.025,55.33,671.71,APPS Aug 12 2022 22.5 Put,58.26,69.22,102.51,143.298
